author,content
黄庭坚,"梅凋粉，柳摇金。
微雨轻风敛陌尘。
厚约深盟何处诉，除非重见那人人。"
张辑,"暮天云阔。
懒泛琴三叠。
恰有梅花相伴，窗儿上、一枝月。
忆别。
恁时节。
吟情谁共说。
枕偶成清梦，画角晓、更愁绝。"
刘克庄,"抽还手版，受用处、十分轻省。
便衣翦家机，饭炊躬稼，且免支移系省。
帝悯龙锺蠲朝谒，予长假、毋烦申省。
笑木石虚斋，暮年做，端明提省。
闲冷。
橐金散尽，书筒来省。
有小小楼儿，看山待月，绝胜崔公望省。
两鹤随轩，一奴负锸，此外诸馀从省。
把一身本末，绿章奏过，泰玄都省。"
辛弃疾,"甲子相高，亥首曾疑，绛县老人。
看长身玉立，鹤般风度，方颐须磔，虎样精神。
文烂卿云，诗凌鲍谢，笔势更右军。
浑馀事，羡仙都梦觉，金阙名存。
门前父老忻忻。
焕奎阁新褒沼语温。
记他年帷幄，须依日月，只今剑履，快上星辰。
人道阴功，天教多寿，看到貂蝉七叶孙。
君家里，是几枝丹桂，几树灵椿。"
史达祖,"楚梦吹成树外云。
乍雁影斜分。
黄花心事一帘尘。
但频忆、小腰身。
今宵素壁冰弦冷，怕弹断、沈郎魂。
秋衣因甚满愁痕。
是干预、几黄昏。"
秦观,"北苑研膏，方圭圆璧，名动万里京关。
碎身粉骨，功合上凌烟。
尊俎风流战胜，降春睡、开拓愁边。
纤纤捧，香泉溅乳，金缕鹧鸪斑。
相如，方病酒，一觞一咏，宾有群贤。
便扶起灯前，醉玉颓山。
搜揽胸中万卷，还倾动，三峡词源。
归来晚，文君未寝，相对晓妆残。"
李流谦,"万绿压庭柯，雨晴烟润。
三尺金猊麝微喷。
百花香暖，酿作九霞仙酝。
祝君如此酒，年年饮。
插额汉貂，垂腰苏印。
趁取如今未华鬓。
三茅兄弟，总有丹台名姓。
蟠桃熟也未，教人问。"
辛弃疾,"扑面征尘去路遥。
香篝渐觉水沈销。
山无重数周遭碧，花不知名分外娇。
人历历，马萧萧。
笙旗又过小红桥。
愁边剩有相思句，摇断吟鞭碧玉梢。"
晁补之,"儿童嬉戏杏花堤。
春归不解悲。
重来草露湿人衣。
无花空绕枝。
曾学道，久望机。
一尊甘若饴。
平生鱼鸟与同归。
临风心自知。"
陆游,"家住东吴近帝乡。
平生豪举少年场。
十千沽酒青楼上，百万呼卢锦瑟傍。
身易老，恨难忘。
尊前赢得是凄凉。
君归为报京华旧，一事无成两鬓霜。"
葛长庚,"客里家山，记踏来时，水曲山崖。
被滩声喧枕，鸡声破晓，匆匆惊觉，依旧天涯。
抖擞征衣，寒欺晓袂，回首银河西未斜。
尘埃债，叹有如此发，空为伊华。
古来客况堪嗟。
尽贫也输他□在家。
料驿舍旁边，月痕白处，暗香微度，应是梅花。
拣折一枝，路逢南雁，和两字平安寄与他。
教知道，有长亭短堠，五饭三茶。"
高观国,"芙蓉羞粉香，倚竹窥烟霁。
眼带楚波寒，骨艳春风醉。
谁传侧帽情，想解遗鞭意。
红叶可怜秋，不寄相思字。"
叶梦得,"云峰横起，障吴关三面，真成尤物。
倒卷回潮目尽处，秋水黏天无壁。
绿鬓人归，如今虽在，空有千茎雪。
追寻如梦，满馀诗句犹杰。
闻道尊酒登临，孙郎终古恨，长歌时发。
万里云屯瓜步晚，落日旌旗明灭。
鼓吹风高，画船遥想，一笑吞穷发。
当时曾照，更谁重问山月。"
辛弃疾,"聚散匆匆不偶然。
二年遍历楚山川。
但将痛饮酬风月，莫放离歌入管弦。
萦绿带，点青钱。
东湖春水碧连天。
明朝放我东归去，後夜相思月满船。"
沈蔚,"过尽清明三月雨，东风才到溪滨。
画工传得已非真。
青君著意处，桃李未为伦。
倚槛盈盈如欲语，就中拈足花神。
自然亭馆一番新。
从今观绝品，不独洛阳人。"
吕胜己,"桂子飘香，江南秋老霜风作。
自怜漂泊。
几度伤离索。
孤馆迢迢，满引村醪酌。
情无著。
好音难托。
又失黄花约。"
吴潜,"白苹影里，向何人可话，平生心素。
月魄冰魂凝结就，犹薄湘妃洛女。
吴沼芙蓉，陈陂菡萏，散入玄珠浦。
采花蜂蝶，雾深都忘归去。
堪笑并蒂霞冠，双头酡脸，只为多情苦。
空遣隔江游冶子，撩乱心飞目注。
同出泥涂，独标玉质，不是曼陀雨。
风清露冷，有人长自迟伫。"
赵师侠,"斜风疏雨，正无聊情绪，天涯寒食。
烟重云娇春烂漫，却得轻寒邀勒。
柳褪鹅黄，池添鸭绿，桃杏浑狼藉。
乱山深处，尚留些子春色。
海燕未便归来，踏青斗草，谁与同寻觅。
杜宇多情芳树里，只管声声历历。
似劝行人，不如闻早，作个归消息。
休教肠断，梦魂空费思忆。"
欧阳修,"楚国细腰元自瘦。
文君腻脸谁描就。
日夜鼓声催箭漏。
昏复昼。
红颜岂得长如旧。
醉拆嫩房红蕊嗅。
天丝不断清香透。
却傍小阑凝望久。
风满袖。
西池月上人归後。"
李曾伯,"麴生来言，素娥寄声，偶阆苑游。
问去年今夕，逢余桂岭，前年今夕，见子菟裘。
何事尘劳，启人厌倦，痴兔老蟾因缩头。
宜珍重，要相期後会，直待来秋。
休休。
莫舞凉州。
岂巫女风姨相妒不。
枉停歌准拟，冰轮东上，持杯顾恋，银汉西流。
一笑天悭，四并时少，应负珠帘十二楼。
呼蕉叶，且与生酹古，排遣牢愁。"
陈著,"玉麟堂上神仙，算来便合归廊庙。
天教且住，堂堂裘带，舒舒旗纛。
一笑谈中，遍江淮上，太平花草。
待金瓯揭了，黄扉坐处，祗依此、规模好。
恰似虹流节後，庆生申、佳期还到。
乾坤开泰，君臣相遇，机缘恁巧。
谁信苍生，举头凝望，锋车催召。
向芜湖，更有无言桃李，顾春风早。"
晏殊,"曙河低，斜月淡。
帘外早凉天。
玉楼清唱倚朱弦。
馀韵入疏烟。
脸霞轻，眉翠重。
欲舞钗钿摇动。
人人如意祝炉香。
为寿百千长。"
高观国,"写出梨花雨後晴。
凝脂洗尽见天真。
春从翠髻堆边见，娇自红绡脱处生。
天宝梦，马嵬尘。
断魂无复到华清。
恰如伫立东风里，犹听霓裳羯鼓声。"
丘,"风雨骤，妒花黄。
忽斜阳。
急手打开君会否，是伊凉。
深深密密传觞。
似差胜、落帽清狂。
满引休辞还醉倒，却何妨。"
李石,"今年花发时，燕子双双语。
谁与卷珠帘，人在花间住。
明年花发时，燕语人何处。
且与寄书来，人往江南去。"
周密,"湘屏展翠叠。
恨入宫沟流怨叶。
冷金花暗结。
又雁影带霜，蛩音凄月。
珠宽腕雪。
叹锦笺、芳宇盈箧。
人何在，玉箫旧约，忍对素娥说。
愁切。
夜砧幽咽。
任帐底、沈烟渐灭。
红兰谁采赠别。
洛汜分绡，汉浦遗。
舞鸾光半缺。
最怕听、离弦乍阕。
凭阑久，一庭香露，桂影弄栖蝶。"
郭应祥,"分宜七里逢重九。
篱根无菊尊无酒。
萧飒鬓如蓬。
不禁吹帽风。
插花开口笑。
未分输年少。
明岁定王台。
传杯不放杯。"
韩元吉,"东风著意。
先上小桃枝。
红粉腻。
娇如醉。
倚朱扉。
记年时。
隐映新妆，面临水岸。
春将半。
云日暖。
斜桥转。
夹城西。
草软莎平跋马，垂杨渡、玉勒争嘶。
认蛾眉凝笑，脸薄拂燕支。
绣户曾窥。
恨依依。
共携手处。
香如雾。
红随步。
怨春迟。
消瘦损。
凭谁问。
只花知。
泪空垂。
旧日堂前燕，和烟雨，又双飞。
人自老。
春长好。
梦佳期。
前度刘郎，几许风流地，花也应悲。
但茫茫暮霭，目断武陵溪。
往事难追。"
向子,"霭霭朝云，矜春态度。
楚宫梦断寻无路。
欲将尊酒遣新愁，谁知引到愁深处。
不尽长江，无边细雨。
只疑都把愁来做。
西山总不解遮栏，随春直过东湖去。"
姜夔,"燕燕轻盈，莺莺娇软。
分明又向华胥见。
夜长争得薄情知，春初早被相思染。
别後书辞，别时针线。
离魂暗逐郎行远。
淮南皓月冷千山，冥冥归去无人管。"
贺铸,"重过阊门万事非。
同来何事不同归。
梧桐半死清霜後，头白鸳鸯失伴飞。
原上草，露初。
旧栖新垅两依依。
空床卧听南窗雨，谁复挑灯夜补衣。"
辛弃疾,"逸气轩眉宇。
似王良、轻车熟路，骅骝欲舞。
我觉君非池中物，咫尺蛟龙云雨。
时与命、犹须天付。
兰佩芳菲无人问，叹灵均、欲向重华诉。
空壹郁，共谁语。
儿曹不料扬雄赋。
怪当年、甘泉误说，青葱玉树。
风引船回沧溟阔，目断三山伊阻。
但笑指、吾庐何许。
门外苍官千百辈，尽堂堂、八尺须髯古。
谁载酒，带湖去。"
程垓,"卷地芳草都过了。
花不语、对人含笑。
花与人期，人怜花病，瘦似人多少。
闻道重门深悄悄。
愁不尽、露啼烟袅。
断得相思，除非明月，不把花枝照。"
周邦彦,"缕金翠羽。
妆成才见眉妩。
倦倚绣帘，看舞风絮。
愁几许。
寄凤丝雁柱。
春将暮。
向层城苑路。
钿车似水，时时花径相遇。
旧游伴侣。
还到曾来处。
门掩风和雨。
梁间燕语。
问那人在否。"
蔡伸,"风生苹末莲香细。
新浴晚凉天气。
犹自倚朱阑，波面双双彩鸳戏。
鸾钗委坠云堆髻。
谁会此时情意。
冰簟玉琴横，还是月明人千里。"
范成大,"万里吴船泊，归访菊篱秋。
（下缺）"
赵以夫,"望红渠影里，冉冉斜阳，十里堤平。
唤起江湖梦，向沙鸥住处，细说前盟。
水乡六月无暑，寒玉散清冰。
笑老去心情，也将醉眼，镇为花青。
亭亭。
步明镜，似月浸华清，人在秋庭。
照夜银河落，想粉香湿露，恩泽初承。
十洲缥缈何许，风引彩舟行。
尚忆得西施，馀情袅袅烟水汀。"
宋先生,"一轮明月照三峰。
彩霞飞满空。
分明见我主人公。
明珠透上宫。
丹药炼，鼎中红。
频频要用功。
功成定是出樊笼。
闲游仙洞中。"
李之仪,"深秋庭院，残暑全消退。
天幕迥，云容碎。
地偏人罕到，风惨寒微带。
初睡起，翩翩戏蝶飞成对。
叹息谁能会。
犹记逢倾盖。
情暂遣，心常在。
沈沈音信断，冉冉光阴改。
红日晚，仙山路隔空云海。"
王之望,"柳花飞絮，又还是、清明寂寞时节。
洞府人间嗟素手，今日匆匆分拆。
巧笑难成，含情谁解，顾影无颜色。
风流满面，却成春恨凄恻。
云鬓从金蝉，纷纷红泪，千点胭脂湿。
聚调轻盈离调惨，声入低空愁碧。
祖帐将收，骊驹欲驾，去也劳相忆。
伤心南浦，断肠芳草如积。"
仲殊,"锺山影里看楼台。
江烟晚翠开。
六朝旧时明月，清夜满秦淮。
寂寞处，两潮回。
黯愁怀。
汀花雨细，水树风闲，又是秋来。"
陈克,"香雾空堕彩蟾。
倾城催映出重帘。
□□银烛夜厌厌。
何物与侬供醉眼，半黄梅子带红盐。
粉融香润玉纤纤。"
刘过,"淡香幽艳露华浓。
晚妆慵。
略匀红。
春困恹恹，□□鬓云松。
早是自来莲步小，新样子，为谁弓。
画堂西畔曲栏东。
醉醒中。
苦匆匆。
卷上珠帘，依旧半床空。
香满炉人未寝，花弄月，竹摇风。"
袁去华,"曲沼朱阑，缭墙翠竹晴昼。
金万缕、摇摇风柳。
还是燕子归时，花信来後。
看淡净洗妆态，梅样瘦。
春初透。
尽日明窗相守。
闲共我焚香，伴伊刺绣。
睡眼剩剩，今朝早是病酒。
那堪更、困人时候。"
