author,content
王庭,"云静天高，山明水阔。
一年待个中秋月。
十分魄少一分圆，今宵已觉蟾光别。
且尽金尊，遥瞻玉阙。
更深江水沙如雪。
来宵风雨不相关，重须买酒追佳节。"
石孝友,"照水粉梅开尽。
春残峭寒犹甚。
秋气著人衣，斗帐玉儿生晕。
那更。
那更。
帘外月斜风横。"
吕渭老,"闻君见影已堪怜。
短因缘。
偶同筵。
相见无言，分散倍依然。
做梦杨花随去也，妆阁畔，绣床前。
觉来离绪意绵绵。
写蛮笺。
倩谁传。
鱼雁悠悠，门外水如天。
欲上西楼还不忍，难著眼，望秋千。"
李曾伯,"敢问辽天月，历几亿春秋。
老娥盍相刮目，无一语相酬。
似讶经年间阔，类笑衰翁潦倒，岁岁客他州。
清照五湖阔，倦影一萍浮。
任渠侬，琴当户，酒当楼。
人生适意，封君何似橘千头。
月正圆时固好，人欲闲时须早，毋作陇西羞。
多谢锦囊句，椽笔富清流。"
黄裳,"杳无风色，肠断莲花信。
水鉴云垂数峰影。
向劳生辛苦，寒暑煎人，争不老，空想秋堂夜静。
玉姬挥皓月，时送微凉，莫吝金卮为伊尽。
柳下夕阳收，傍水重游，花茵上、雪回襟冷。
问避暑天机、自有奇人，但且对湖光，世间谁醒。"
黄裳,"红旗高举。
飞出深深杨柳渚。
鼓击春雷。
直破烟波远远回。
欢声震地。
惊退万人争战气。
金碧楼西。
衔得锦标第一归。"
张,"喜秋回霁宇，倩凉露、洗炎飙。
被鹊误仙盟，经年恨阻，银汉迢迢。
牛闲更停弄杼，趁佳期、华幄傍星桥。
授玉鸾骞雾霭，赠绡龙戏花娇。
欢娱回首是明朝。
未别已魂销。
想翠轭珠轮，归途望断，斗转斜勺。
人间易离易遇，尽胜如、天上各云霄。
携去一梳水月，巧楼犹醉笙箫。"
汪莘,"柳塘居处，方壶道号，汪姓莘名耕字。
欲将丹药点凡花，教都做、水仙无计。
家中安石，村中居易，总是一场游戏。
曲终金石满吾庐，争奈少、柳家风味。"
李之仪,"玉骨冰肌天所赋。
似与神仙，来作烟霞侣。
枕畔拈来亲手付。
书窗终日常相顾。
几度离披留不住。
依旧清香，只欠能言语。
再送神仙须爱护。
他时却待亲来取。"
程垓,"别时已有重来愿。
谁料情多天不管。
分明咫尺是青楼，抵死浓云遮得遍。
寄声只倚西飞雁。
雁落书回空是怨。
领愁归去有谁知，水又茫茫山又断。"
张抡,"红尘光景事如何。
扰扰利名多。
若问侬家活计，扁舟小笠轻蓑。
一尊美酒，一轮皓月，一弄山歌。
选甚掀天白浪，未如人世风波。"
张孝祥,"桃换肌肤菊换妆。
只疑春色到重阳。
偷将天上千年艳，染却人间九日黄。
新艳冶，旧风光。
东篱分付武陵香。
尊前醉眼空相顾，错认陶潜是阮郎。"
杨冠卿,"云垂幕。
江天雪似杨花落。
杨花落。
翠衾不暖，晓寒偏觉。
起来独倚西楼角。
客怀无耐伤离索。
伤离索。
蛮笺欲寄，塞鸿难托。"
贺铸,"牛女相望处，星桥不碍东西。
重墙未抵蓬山远，却恨画楼低。
细字频传幽怨，凝缸长照单栖。
城乌可是知人意，偏向月明啼。"
晏殊,"罨画溪边停彩舫。
仙娥绣被呈新样。
飒飒风声来一饷。
愁四望。
残红片片随波浪。
琼脸丽人青步障。
风牵一袖低相向。
应有锦鳞闲倚傍。
秋水上。
时时绿柄轻摇扬。"
李曾伯,"对西风、先自念莼鲈，又还月生西。
叹平生霜露，而今都在，两鬓丝丝。
当年门垂蓬矢，壮岁竟奚为。
磊落中心事，只有天知。
多谢君恩深厚，费丁宁温诏，犹置驱驰。
看弓刀何事，终是愧毛锥。
愿今年、四郊无警，向酒边、多作数篇诗。
山林下，相将见一，舍我其谁。"
刘辰翁,"想幼安、辽东归後，自羞年少龙首。
长安市上垆边卧，枉却快行家走。
空两袖。
染醉墨淋漓，把似天香透。
功名邂逅。
便六一词高，君谟字伟，但见说行昼。
人间事，苦似成丹无候。
神清苔字如镂。
明年六十闻歌後，颇记薄醺醺否。
儿拍手。
笑马上葛疆，也作家山友。
烦伊起寿。
更待复一中，毋多酌我，疏影共三嗅。"
杨泽民,"吟风敲遍阑干曲。
极目澄江千顷绿。
长笛下扁舟。
一声人倚楼。
床头醅正发。
帐底人如雪。
月色夜来看。
可堪霜信寒。"
王灼,"风柔日薄江村路。
一鞭又逐春光去。
胡蝶作团飞。
竹间桃李枝。
醉魂招不得。
一半随春色。
桃李□无多。
其如风日何。"
范成大,"流铃响，龙驭云来。
夹道骞华龙彩仗，红云扶辂辗天街。
迎驾鹤。"
张先,"锦屏罗幌初睡起。
花阴转、重门闭。
正不寒不暖，和风细雨，困人天气。
此时无限伤春意。
凭谁诉、厌厌地。
这浅情薄幸，千山万水，也须来里。"
李清照,"香冷金猊，被翻红浪，起来人未梳头。
任宝奁闲掩，日上帘钩。
生怕闲愁暗恨，多少事、欲说还休。
今年瘦，非干病酒，不是悲秋。
明朝，这回去也，千万遍阳关，也即难留。
念武陵春晚，云锁重楼。
记取楼前绿水，应念我、终日凝眸。
凝眸处，从今更数，几段新愁。"
仇远,"疏疏密密，漠漠纷纷，乍舞风无力。
残砖断础，才转眼、化作方圭园壁。
非花非絮，似骋巧、先投窗隙。
立小楼、不见青山，万里鸟飞无迹。
休邻冻梗冰苔，算飞入园林，都是春色。
年华婉娩，谁信道、老却梁园词客。
踏青近也，且一白、何消三白。
把一白、分与梅花，要点寿阳妆额。"
朱敦儒,"七十衰翁，告老归来，放怀纵心。
念聚星高宴，围红盛集，如何著得，华发陈人。
勉意追随，强颜陪奉，费力劳神恐未真。
君休怪，近频辞雅会，不是无情。
岩扃。
旧菊犹存。
更松偃、梅疏新种成。
爱静窗明几，焚香宴坐，闲调绿绮，默诵黄庭。
莲社轻舆，雪溪小棹，有兴何妨寻弟兄。
如今且，花迷酒困，心迹双清。"
毛滂,"泪湿阑干花著露。
愁到眉峰碧聚。
此恨平分取。
更无言语。
空相觑。
短雨残云无意绪。
寂寞朝朝暮暮。
今夜山深处。
断魂分付。
潮回去。"
葛长庚,"一个江湖客，万里水云身。
鸟啼春去，烟光树色正黄昏。
洞口寒泉漱石，岭外孤猿啸月，四顾寂无人。
梦魂归碧落，泪眼看红尘。
烟，风惨惨，暗消魂。
南中诸友，而今何处问浮萍。
青鸟不来松老，黄鹤何之石烂，叹世一伤神。
回首南柯梦，静对北山云。"
辛弃疾,"长松。
之风。
如公。
肯余从。
山中。
人心与吾兮谁问。
湛湛千里之江。
上有枫。
噫，送子东。
望君之门兮九重。
女无悦己，谁适为容。
不龟手药，或一朝兮取封。
昔与游兮皆童。
我独穷兮今翁。
一鱼兮一龙。
劳心兮忡忡。
噫，命与时逢。
子取之食兮万锺。"
刘过,"红袖扶来聊促膝，龙团共破春温。
高标终是绝尘氛。
两箱留烛影，一水试云痕。
饮罢清风生两腋，馀香齿颊犹存。
离情凄咽更休论。
银鞍和月载，金碾为谁分。"
汪莘,"村南北。
夜来陡觉霜风急。
霜风急。
征途情绪，塞垣消息。
佳人独倚琵琶泣。
一江明月空相忆。
空相忆。
寒衣未絮，荻花狼籍。"
葛立方,"袅袅水芝红，脉脉蒹葭浦。
淅淅西风淡淡烟，几点疏疏雨。
草草展杯觞，对此盈盈女。
叶叶红衣当酒船，细细流霞举。"
陆游,"斜阳寂历柴门闭。
一点炊烟时起。
鸡犬往来林外。
俱有萧然意。
衰翁老去疏荣利。
绝爱山城无事。
临去画楼频倚。
何日重来此。"
张孝祥,"诸老何烦荐口，先生自简渊衷。
千年圣学有深功。
妙处无非日用。
已授一编圯下，却须三顾隆中。
鸿钧早晚转春风。
我亦从君贾勇。"
魏了翁,"寿觞庭户，正柳明桃炫。
拟斫江鱼脍银线。
被春风吹入，花锦城中、惟有梦，时到轻轩翠。
归来春已过，桃柳成阴，但喜庭闱镇强健。
更得故人书，遗我瑰词，应重记、去年相见。
望白鹤朱霞杳难攀，谩芳草如烟，青青河畔。"
吴则礼,"林塘朱夏，雨过斑斑，绿苔绕地初遍。
叶底雏莺，犹记日斜春晚。
芙蕖靓妆红粉，傍高荷、闲倚歌扇。
轻风起，纹滟滟，翠生波面。
可是追凉月下，清坐久，微云屡遮星汉。
露湿纶巾，遥望玉清台殿。
白头共论胜事，须偿五湖深愿。
南枝好，有南飞乌鹊，绕枝低转。"
周密,"波影摇涟。
趁熏风、一舸来时，翠阴清昼。
去郭轩楹才数里，藓磴松关云岫。
快屐齿、筇枝先後。
空半危亭堪聚远，看洞庭、缥缈争奇秀。
人自老，景如旧。
来帆去棹还知否。
问古今、几度斜阳，几番回首。
晚色一川谁管领，都付雨荷烟柳。
知我者、燕朋鸥友。
笑拍阑干呼范蠡，甚平吴、却倩垂纶手。
吁万古，付卮酒。"
侯置,"甚矣吾衰，徒是苦、饥肠为孽。
嗟寸禄、区区留恋，形疲心竭。
江海一生真可羡，尘埃永昼何堪说。
似钝刀、终岁斫空山，宁无缺。
拚放浪，休豪杰。
秋水涨，归期决。
尽凫长鹤短，任渠分别。
芒夜寻溪上酒，葛巾晓挂松间月。
向丹霄、传语旧交游，慵非拙。"
戴复古,"赤壁矶头，一番过、一番怀古。
想当时、周郎年少，气吞区宇。
万骑临江貔虎噪，千艘列炬鱼龙怒。
卷长波、一鼓困曹瞒，今如许。
江上渡，江边路。
形胜地，兴亡处。
览遗踪，胜读史书言语。
几度东风吹世换，千年往事随潮去。
问道傍、杨柳为谁春，摇金缕。"
葛郯,"粼粼白水护青田。
想真仙。
弄清莲。
十里香风，吹下碧云天。
月在草堂人未寝，松竹暗，水涓涓。
夜阑何事悄无言。
怨空传。
事难圆。
欲借寒光，谁与伴清妍。
待得凌波人肯住，呼玉笛，劝金船。"
沈瀛,"神欲出，便收来。
神返心中气自回。
返婴儿，成圣胎。
灵液注，蕊珠开。
大丹炉里响如雷。
忽飞升，游九垓。"
郭应祥,"点检尊前主与宾。
今宵依旧昨宵人。
自缘笑语生和气，不为风光属小春。
香，酒清醇。
山肴野蔌总前陈。
掀髯抵掌君休怪，镜里星星白发新。"
王质,"气佳哉、烟紫石头城，云碧雨花台。
想东山前後，望春树绿，看晚潮回。
自古英雄豪杰，无不待时来。
拥鼻微吟处，山静花开。
商皓亦常如此，羡苍生皆有，瞻望之怀。
但淝河洛涧，此事偶然谐。
疑是彼、八公草木，得神明、相亮不相猜。
西州泪、千年犹湿，回望兴哀。"
张元干,"江左风流锺间气，洲分二水长。
凤凰台畔，投怀玉燕，照射神光。
豆花初秀雨，散暑空、洗出秋凉。
庆生旦，正圆蟾呈瑞、仙桂飘香。
肝肠。
文锦，驾云乘鹤下行。
紫枢将命，紫微如绋，常近君王。
旧山同梓里，荷月旦、久已平章。
九霞觞。
荐刀圭丹饵，衮绣朝裳。"
李纲,"新雨足，一夜满南塘。
粳稻向成初吐秀，芰荷虽败尚馀香。
爽气入轩窗。
澄霁後，远岫更青苍。
两部蛙声鸣鼓吹，一天星月浸光芒。
秋色陡凄凉。"
冯取洽,"那得身无事。
问双溪老子，而今万缘空否。
正使尘牢偿未了，毕竟难昏灵府。
已笑唾、功名如土。
五十九年风雨过，算非非、是是何须数。
垂老也，信缘度。
绿阴朱夏回清暑。
叹病来、觞怯流霞，扇闲白羽。
方念生初增感慨，谁寄乐章新语。
知是我、花庵庵主。
一别三年惟梦见，定何时、相对倾琼醑。
惊世路，有豺虎。"
舒づ,"真珠酒滴琵琶送。
行云旧识巫山梦。
空得醉中归。
老来心事非。
江梅含日暖。
照水花枝短。
密叶似商量。
向人春意长。"
陆游,"雪晓清笳乱起。
梦游处、不知何地。
铁骑无声望似水。
想关河，雁门西，青海际。
睡觉寒灯里。
漏声断、月斜窗纸。
自许封侯在万里。
有谁知，鬓虽残，心未死。"
京镗,"与蜀有缘法，见我眼俱青。
征车到处，弦管无限作离声。
自笑四年留滞，漫说三边安静，分阃愧长城。
一念天地阔，万事羽毛轻。
欲归去，诗入社，酒寻盟。
双鬓，老矣祗觉壮心惊。
虽是东西惟命，已断行藏在己，何必问君平。
举似铜梁守，怀抱好同倾。"
朱敦儒,"紫帔红襟艳争浓。
光彩烁疏栊。
香为小字，瑞为高姓，道骨仙风。
此花合向瑶池种，可惜未遭逢。
阿环见了，羞回眼尾，愁聚眉丛。"
石孝友,"月娥弄影当窗照。
疑是巫山晓。
芙蓉帐里睡魂惊。
浅拂轻匀犹恐、已天明。
高楼未放梅花弄。
却就鸳衾拥。
舞腰纤瘦不禁春。
姿意任郎撩乱、一梳云。"
张孝祥,"人物风流册府仙。
谁教落魄到穷边。
独班未引甘泉伏，三峡先寻上水船。
斟楚酒，扣湘弦。
竹枝歌里意凄然。
明时合下清猿泪，闲日须题采凤笺。"
吴潜,"和气熏来，这般光景，管无风雨。
画栋朱甍，锦坊绣巷，娘子将嫫母。
星球高挂，灯楼趱出，良夜正消增五。
遨头事，牙旗铁马，且还那时鄞府。
甘泉见说，捷书频奏，渐次不烦颦鼓。
双凤云间，六鳌海上，祝赞齐手舞。
三呼声里，君王万寿，岁岁传柑笑语。
便都把，升平旧曲，腔儿旋补。"
刘辰翁,"日落紫霞洲。
兰舟稳放流。
玉虹仙、如在黄楼。
何必锦袍吹玉笛，听乃、数声秋。
赤壁舞涛头。
周郎还到不。
倚西风、袅袅余愁。
唤起横江飞道士，来伴我、月中游。"
汪莘,"晓趁西湖约。
到湖头，烟消日出，波生雨脚。
日挈白鱼携碧酒，要与诗人共酌。
把楼上、珠帘卷却。
坐对荷花三万朵，念西邻、未嫁肌如削。
待折与，不堪著。
别来又见秋萧索。
恨无由、将余风月，伴君云鹤。
想见登山临水处，醉把茱萸礴。
唱白雪、阳春新作。
一自东篱人去後，算人间，黄菊空零落。
叹作者，多命薄。"
曹勋,"红绿烟村惨淡，市井初经虏。
舍馆人家，凄凄但尘土。
依旧春色撩人，柳花飞处，犹听几声莺语。
黯无绪。
匹马三游四楚。
行路漫怀古。
可惜风月，佳时尚羁旅。
归处应及荼シ，与插云鬓，此恨醉时分付。"
张孝祥,"横波滴素，遥山蹙翠，江北江南肠断。
不知何处驭风来。
云雾里、钗横鬓乱。
香罗叠恨，蛮笺写意，付与瑶台女伴。
醉时言语醒时羞，道醒了、休教再看。"
李曾伯,"千一载英杰，百二国山河。
提封几半宇宙，万里仗天戈。
十乘晋军旗鼓，三岁秦关扃锁，地利属人和。
位次功第一，未数侯何。
建青油，持柴荷，听黄麻。
乾坤整顿都了，玉殿侍羲娥。
且醉东湖花柳，却泛西湖舟楫，留不住岷峨。
谁为语儒馆，浓墨被诗歌。"
舒づ,"朱帘乍卷层烟起。
露华深浅初疑洗。
困倚玉阑风。
绮罗知几重。
向人如有意。
不醉何时醉。
便得一枝红。
犹胜两鬓空。"
杨泽民,"初过元宵三五後。
曲槛依依，终日摇金牖。
瘦损舞腰非为酒。
长条聊赠垂鞭手。
几叶小梅春已透。
信是风流，占尽人间秀。
走马章台还举首。
可人标韵强如旧。"
晏几道,"南苑垂鞭路冷，西楼把袂人稀。
庭花犹有鬓边枝。
且插残红自醉。
画幕凉催燕去，香屏晓放云归。
依前青枕梦回时。
试问闲愁有几。"
周紫芝,"无限春情不肯休。
江梅未动使人愁。
东昏觑得玉奴羞。
对酒情怀疑是梦，忆花天气黯如秋。
唤春云梦泽南州。"
李清照,"小楼寒，夜长帘幕低垂。
恨萧萧、无情风雨，夜来揉损琼肌。
也不似、贵妃醉脸，也不似、孙寿愁眉。
韩令偷香，徐娘傅粉，莫将比拟未新奇。
细看取、屈平陶令，风韵正相宜。
微风起，清芬酝籍，不减酴。
渐秋阑、雪清玉瘦，向人无限依依。
似愁凝、汉皋解佩，似泪洒、纨扇题诗。
朗月清风，浓烟暗雨，天教憔悴度芳姿。
纵爱惜、不知从此，留得几多时。
人情好，何须更忆，泽畔东篱。"
石孝友,"枕上莺声初破睡，峭寒轻透帘帏。
起来惆怅有谁知。
雨狂风转急，揉损好花枝。
薄幸别来春又老，等闲误却佳期。
斜阳影里立多时。
远山何事□，相对蹙修眉。"
洪适,"领客携尊花底开。
薄寒初送雨声来。
一声未弄林间笛，几片低飞阁下梅。
酬的，少迟回。
不妨春雪撒银杯。
玉肌莫放清香散，更待晴时赏一回。"
赵长卿,"天教占得如簧，巧声乍啭千娇媚。
金衣衬著，风流模样，於中可是。
红杏香中，绿杨阴处，多应饶你。
向黄昏、苦苦娇啼怨别，那堪更、东风起。
别有诗肠鼓吹。
未关他、等闲俗耳。
双柑斗酒，当时曾是，高人留意。
南国春归，上阳花落，止添憔悴。
念啼声欲碎，何人解作留春计。"
刘将孙,"天涯倦客，如梦说今宵。
承平事，车尘涨，马鸣萧。
火城朝。
狂歌闲嬉笑，平康客，五陵侠，闲相待，沙河路，灞陵桥。
万眼琉璃，目眩去闲买，一翦梅烧。
数金蛾彩蝶，簇带那人娇。
说著魂销。
掩鲛绡。
波翻海，尘换世，铜仙泪，铁心娆。
渺何地，朱履，解金貂。
步宫腰。
瑶池惊燕罢，瓶落井，箭离。
灯楼倒，吴儿老，绛都迢。
点点梅梢残雪，似东风、吹恨难消。
悄山村渔火，风鬓立春宵。
绕寒潮。"
苏轼,"临水纵横回晚。
归来转觉情怀动。
梅笛烟中闻几弄。
秋阴重。
西山雪淡云凝冻。
美酒一杯谁与共。
尊前舞雪狂歌送。
腰跨金鱼旌旆拥。
将何用。
只堪妆点浮生梦。"
李之仪,"一到江南，三逢此夜，举头羞见婵娟。
黯然怀抱，特地遣谁宽。
分外清光泼眼，迷漾、无计拘拦。
天如洗，星河尽掩，全胜异时看。
佳人，还忆否，年时此际，相见方难。
谩红绫偷寄，孤被添寒。
何事佳期再睹，翻怅望、重叠关山。
归来呵，休教独自，肠断对团圆。"
曹勋,"晓日浓阴，冷云遮断山无数。
雁飞筝柱。
都向愁边去。
帘影沈沈，一缕芳香度。
深庭户。
且寻欢聚。
雪意还成雨。"
张先,"轻牙低掌随声听。
合调破空云自凝。
姝娘翠黛有人描，琼女分鬟待谁并。
弄妆俱学闲心性。
固向鸾台同照影。
双头莲子一时花，天碧秋池水如镜。"
韩元吉,"老去休惊节物催。
菊花端的为君开。
携壶幸有齐山客，怀古还如单父台。
松掩映，水萦回。
使君强健得重来。
不须细把茱萸看，且尽丰年酒一杯。"
史浩,"晓日花露稀。
明光已报敞金扉。
三千彩仗翔鸾舞，数百银袍振鹭飞。
开雉扇，正垂衣。
奏篇初得上彤墀。
胪传绕殿天颜喜，先折东风第一枝。"
叶梦得,"一曲离歌，烟村人去，马头微雪新晴。
隔年光景，回首近清明。
断送残花又老，春波净、湖水初平。
谁重到，雕阑尽日，遥想画桥横。
高城。
凝望久，何人为我，重唱馀声。
问桃李如今，几处阴成。
老去从游似梦，尊前事、空有经行。
犹能记，殷勤寄语，多谢故人情。"
晁补之,"王孙眉宇凤凰雏。
天与世情疏。
扬州坐上琼花底，佩锦囊、曾忆奚奴。
金盏醉挥，满身花影，红袖竞来扶。
十年一梦访林居。
离缺重踯躇。
应怜肺病临邛客，寄洞庭、春色双壶。
天气未佳，梅花正好，曾醉燕堂无。"
张榘,"少时贪看琼林绕。
任马上、寒威峭。
昨暮六花飞逗晓。
拥衾慵起，鬓丝笼帽，顿觉年来老。
朱阑翠竹枝枝倒。
把玉、棱层趁风扫。
楼上一樽须放早。
同云收尽，红轮初上，对面狼峰好。"
吴潜,"试马东风，且来问、南枝消息。
正小墅、几株斜倚，数花轻拆。
自有山中幽态度，谁知世上真颜色。
叹君家、五岭我双溪，俱成客。
长塞管，孤城笛。
天未晓，人犹寂。
有几多心事，露清月白。
好把寒英都放了，莫教春讯能占得。
问竹篱、茅舍景如何，惟渠识。"
张炎,"傅粉何郎，比玉树、琼枝谩夸。
看生子、东涂西抹，笑语浮华。
蝴蝶一生花里活，似花还却似非花。
最可人、娇艳正芳年，如破瓜。
离别恨，生叹嗟。
欢情事，起喧哗。
听歌喉清润，片玉无瑕。
洗尽人间笙笛耳，赏音多向五侯家。
好思量、都在步莲中，裙翠遮。"
卢祖皋,"骄嘶破清晓，分恨临期。
花下恁月明知。
馀光是处散离思，最怜香霭霏霏。
牵衣弹泪，问凄风愁露，划地东西。
留鞭换佩，怕匆匆、已是迟迟。
凉怯几番罗袂，还燕别文梁，萤点书帏。
一自秋娘迢递，黄金对酒，争忍轻挥。
新来院落，雁难寻、帘幕长垂。
怕凋梧敲径，惊回旧梦，应也颦眉。"
葛长庚,"楼上风光都占断。
楼下风光，还许诗人管。
管领风光谁是伴。
一堤杨柳开青眼。
波面琉璃花影乱。
玉笋持杯，画舸歌声颤。
醉里寻春春不见。
夕阳芳草连天远。"
陆游,"幽姿不入少年场。
无语只凄凉。
一个飘零身世，十分冷淡心肠。
江头月底，新诗旧梦，孤恨清香。
任是春风不管，也曾先识东皇。"
王奕,"迢迢冢水，直泻到东州。
不拣秦淮吴楚，明月一家楼，何代非卿非相，底事柴桑老子，偏恁不推刘。
半体鹿皮服，千古晋貔貅。
过东鲁，登北固，感春秋。
抵掌嫣然一笑，莫枉少陵愁。
说甚萧锅曹石，古矣苏吟米画，黑白满盘收。
对水注杯酒，为我向东流。"
程垓,"楼角吹花烟月堕。
的韶研，又向梅心破。
钗上采看一个。
赏心已觉春生坐。
莫恨年华风雨过。
人日嬉游，次第连灯火。
翠幄高张金盏大。
已拼醉袖随香。"
史浩,"当年尚父，一个便兴周。
今十倍，更何忧。
冲融道貌丹为脸，扶疏漆发黑盈头。
世方知，非熊老，聚吾州。
有智略、可从兹日用，有志愿、可从兹日酬。
天付我，怎教休。
琼浆且共飞千斛，蟠桃应得见三偷。
谅吾皇，恢复後，尽封侯。"
苏庠,"西园风暖落花时。
绿阴莺乱啼。
倚阑无语惜芳菲。
絮飞蝴蝶飞。
缘底事，减腰围。
遣愁愁著眉。
波连春渚暮天垂。
燕归人未归。"
洪咨夔,"光风霁月，信行窝到处，人间天上。
一笑唤回新造化，满眼翠舒红放。
脑後功名，脚跟富贵，梦断春旗仗。
辐巾萧散，任他虮虱龙象。
正是杨柳初眠，海棠半睡，锦绣天开障。
鹤骨松筋年望八，得醉不妨澜浪，节过烧灯，时催修禊，迎面韶华荡。
宗文扶著，问翁马首何向。"
程垓,"花簇簇。
触眼万条垂玉。
小院春深窗锁绿。
水沈风断续。
明月又侵楼曲。
羞向枕囊拘束。
只待夜深清影足。
醉来花底宿。"
王之道,"绰约一枝红怨。
疏雨淡烟池馆。
梅子欲黄时，日倚朱阑几遍。
争看。
争看。
人在沈香亭畔。"
赵彦端,"卮言日出。
天上漫试，人间无术。
一笑归来，身如蝉蜕，首如龟缩。
年年白酒黄花，共愿我、光风霁月。
不道道人，老去，如何消得。"
方岳,"孤篷夜傍低丛宿，萧萧雨声悲切。
一岸霜痕，半江烟色，愁到沙头枯叶。
澹云没灭。
黯西风吹老，满汀新雪。
天岂无情，离骚点点送归客。
归去来兮怎得，尽鹭翅鸥倚，乍寒时节。
秋晚山川，夕阳浦溆，赢得别肠千结。
涛翻浪叠。
那得似西来，一筇横绝。
搔首江南，雁衔千里月。"
刘一止,"江边故国，望南云缥缈，连山修木。
远意渊明束带见，乡里儿曹何辱。
世味熏人，折腰从事，俯仰何时足。
可怜菊下，醉吟谁共徵逐。
我爱九日佳名，飘然归思，想当年丘谷。
梦绕篱边犹眷恋，满把清尊馀馥。
援笔洪都，如君英妙，满座方倾属。
月台挥袖，叫云声横断玉。"
陈三聘,"青楼缺。
楼心人待黄昏月。
黄昏月。
入帘无奈，柳绵吹雪。
谁人弄笛声呜咽。
伤春未解丁香结。
丁香结。
鳞鸿何处，路遥江阔。"
赵彦端,"棠阴绿遍，正金菊芙蓉，争放时节。
满路歌谣民五裤，底事逢车催发。
结彩成门，攀辕卧辙，何计留连得。
故园花柳，尽成憔悴难说。
今夜祖席邮亭，主人来日，已是朝天客。
旌旆匆匆从此去，□赏□湖风月。
眷恋无因，笑啼不敢，那忍伤轻别。
清□难驻，一杯聊送行色。"
朱淑真,"鹅毛细翦，是琼珠密洒，一时堆积。
斜倚东风浑漫漫，顷刻也须盈尺。
玉作楼台，铅熔天地，不见遥岑碧。
佳人作戏，碎揉些子抛掷。
争奈好景难留，风雨，打碎光凝色。
总有十分轻妙态，谁似旧时怜惜。
担阁梁吟，寂寥楚舞，笑捏狮儿只。
梅花依旧，岁寒松竹三益。"
吴文英,"暮云千万重，寒梦家乡远。
愁见越溪娘，镜里梅花面。
醉情啼枕冰，往事分钗燕。
三月灞陵桥，心翦东风乱。"
朱敦儒,"织素休寻往恨，攀条幸有前缘。
隔河彼此事经年。
且说蓬莱清浅。
障面重新团扇，倾鬟再整花钿。
歌云舞雪画堂前。
长共阿郎相见。"
向,"别後千思万想，眼前一日三秋。
小街栏槛记追游。
料得新妆依旧。
自笑非常蒂，为他无限闲愁。
莫将离恨寄州。
闻道腰肢愈瘦。"
吴潜,"扁舟昨泊，危亭孤啸，目断闲云千里。
前山急雨过溪来，尽洗却、人间暑气。
暮鸦木末，落凫天际，都是一团秋意。
痴儿呆女贺新凉，也不道、西风又起。"
姜夔,"古帘空，坠月皎。
坐久西窗人悄。
蛩吟苦，渐漏水丁丁，箭壶催晓。
引凉、动翠葆。
露脚斜飞云表。
因嗟念，似去国情怀，暮帆烟草。
带眼销磨，为近日、愁多顿老。
卫娘何在，宋玉归来，两地暗萦绕。
摇落江枫早。
嫩约无凭，幽梦又杳。
但盈盈、泪洒单衣，今夕何夕恨未了。"
曹勋,"秋容应节，渐肃景入窗扉。
碧洞连翠微。
商律回岩桂。
金精壮盛时。
拥蟾轮、生素辉。
启口天为侣，是列仙行缀。
心均太上，欲度世缘无亏。
用定力坚持。
奉真常，惟凝寂。
忱诚贯斗极。
赐长生，仍久视。
洞达虚皇位。
德寿高与天齐。"
朱敦儒,"炎昼永，初夜月侵床。
露卧一丛莲叶畔，芙蓉香细水风凉。
枕上是仙乡。
浮世事，能有几多长。
白日明朝依旧在，黄花非晚是重阳。
不用苦思量。"
张孝祥,"猩鬼啸篁竹，玉帐夜分弓。
少年荆楚剑客，突骑锦红。
千里风飞雷厉，四校星流慧扫，萧斧锉春葱。
谈笑青油幕，日奏捷书同。
诗书帅，黄阁老，黑头公。
家传鸿宝秘略，小试不言功。
闻道玺书频下，看即沙堤归去，帷幄且从容。
君王自神武，一举朔庭空。"
陈允平,"六鳌初驾，缥缈蓬阆，移来洲岛。
还又是、梅飘冰泮，一夜青阳回海表。
渐媚景、傍元宵时候，花底馀寒料峭。
更喜报、三边晏静，人乐清平宇宙。
画鼓簇队行春早。
拥烟花、粉黛缭绕。
开洞府、桃源路窈。
戟外东风吹岸柳。
正翠霭、映星桥月榭，十里红莲绽了。
庆万家、珠帘半卷，绰约歌裙舞袖。
重锦绣幄围香，阖凤管鸾丝环奏。
望非烟非雾，春在壶天易晓。
早隐隐、半空星斗。
看取收灯後。
趁凤书、吹入黄扉，立马金门玉漏。"
沈瀛,"致知格物。
初学工夫参圣域。
天高地远无穷极。
欲造精微，莫若守惟一。
纯全天理明如日。
都缘人欲来相惑。
且将持敬为先入。
若能持敬，真个是神力。"
向子,"璧月光辉，万山不隔蟾宫树。
金风玉露。
水国秋无数。
老子情锺，欲向香中住。
君王许。
龙鸾飞舞。
送到归休处。"
张辑,"醉发吹凉，但拂剑、狂歌而已。
倩谁问、九霄黄鹤，更曾来未。
玉女窗深松昼静，研朱重点参同契。
记前回、赤水得玄珠，骊龙睡。
空扰扰，人间世。
除学道，无真是。
把洪崖肩拍，挹浮丘袂。
朝驾长风沧岛上，夜骑明月青天际。
更几时、回首旧山川，三千岁。"
魏了翁,"中年怕踏长亭路。
便自有、离愁苦。
一自送君趋幕府。
惺莺舌，呢喃燕觜，那解春无语。
三年山月移朝暮。
独倚松风等闲度。
到得除书萦绊住。
却愁不似，当时皓月，长伴君来去。"
